id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-969963,2019-01-08,1,Vente,144000,9001,,RUE MARCEL PAUL,1445,64700,64260,Hendaye,64,,,64260000AK0525,,,123,,,,,,,,,,1,2,Appartement,50.00,2,,,,,,-1.7758670,43.3526690,000AK
2019-969964,2019-01-08,1,Vente,229000,46,,RUE BIGARENA,420,64700,64260,Hendaye,64,,,64260000AK0465,,,17,,,,,,,,,,1,2,Appartement,81.00,4,,,,,,-1.7733770,43.3508840,000AK
2019-969968,2019-01-18,1,Vente,318600,71,,AGUERRIA,B005,64700,64260,Hendaye,64,,,64260000AB0300,,,,,,,,,,,,,0,1,Maison,75.00,4,S,sols,,,384.00,-1.7471270,43.3739780,000AB
2019-969969,2019-01-23,1,Vente,162000,14,,AV DES ALLEES,100,64700,64260,Hendaye,64,,,64260000AN0409,,,12,,6,54.26,,,,,,,2,2,Appartement,60.00,3,,,,,,-1.7745760,43.3560630,000AN
2019-969970,2019-01-23,1,Vente,270000,23,,RUE D IRUN,1210,64700,64260,Hendaye,64,,,64260000AV0418,,,250,,,,,,,,,,1,2,Appartement,84.00,3,,,,,,-1.7729710,43.3729960,000AV
2019-969973,2019-01-17,1,Vente,800000,4,,RUE DES ARBOUSIERS,150,64700,64260,Hendaye,64,,,64260000AX0040,,,,,,,,,,,,,0,1,Maison,86.00,3,S,sols,,,800.00,-1.7814510,43.3715590,000AX
2019-969976,2019-01-16,1,Vente,177000,57,,RUE DE BEHOBIE,320,64700,64260,Hendaye,64,,,64260000AK0031,,,1,,,,,,,,,,1,2,Appartement,52.00,4,,,,,,-1.7728220,43.3500140,000AK
2019-969986,2019-01-31,1,Vente,270000,41,,RUE ELISSACILIO,829,64700,64260,Hendaye,64,,,64260000AT0225,,,2,75.74,,,,,,,,,1,1,Maison,72.00,3,,,,,,-1.7679600,43.3733580,000AT
2019-969987,2019-01-25,1,Vente,121950,7,,CHE DE MARIZABALENIA,1460,64700,64260,Hendaye,64,,,64260000AN0529,,,2,,,,,,,,,,1,2,Appartement,34.00,2,,,,,,-1.7671280,43.3572990,000AN
2019-969989,2019-01-23,1,Vente,85740,15,,RUE SAINT EXUPERY,2000,64700,64260,Hendaye,64,,,64260000AD0292,,,9,22.00,,,,,,,,,1,2,Appartement,22.00,1,,,,,,-1.7567570,43.3702630,000AD
2019-970006,2019-01-29,1,Vente,74100,9000,,CHE DE MOLERES,1540,64700,64260,Hendaye,64,,,64260000AD1248,,,15,20.56,,,,,,,,,1,2,Appartement,21.00,1,,,,,,-1.7614310,43.3682400,000AD
2019-970007,2019-01-24,1,Vente,151000,7037,,CHE DE SOPITE,2100,64700,64260,Hendaye,64,,,64260000AD0037,,,252,40.02,,,,,,,,,1,2,Appartement,40.00,2,,,,,,-1.7507620,43.3706370,000AD
2019-970010,2019-01-24,1,Vente,190000,7037,,CHE DE SOPITE,2100,64700,64260,Hendaye,64,,,64260000AD0037,,,502,63.47,557,,,,,,,,2,2,Appartement,64.00,3,,,,,,-1.7507620,43.3706370,000AD
2019-970016,2019-01-28,1,Vente,100000,1,B,RUE DU JAIZQUIBEL,1240,64700,64260,Hendaye,64,,,64260000AM0611,,,159,40.47,,,,,,,,,1,2,Appartement,40.00,2,,,,,,-1.7733820,43.3590770,000AM
2019-970019,2019-01-31,1,Vente,310000,2,,RUE D OURISTY,1720,64700,64260,Hendaye,64,,,64260000AP0122,,,3,78.11,,,,,,,,,1,2,Appartement,77.00,3,,,,,,-1.7703470,43.3637600,000AP
2019-970029,2019-01-24,1,Vente,135000,9040,,RTE DE LA CORNICHE,690,64700,64260,Hendaye,64,,,64260000AS0155,,,24,33.72,,,,,,,,,1,2,Appartement,35.00,1,,,,,,-1.7610960,43.3739440,000AS
2019-970032,2019-02-07,1,Vente,133000,14,,RUE DE BEHOBIE,320,64700,64260,Hendaye,64,,,64260000AL0253,,,262,47.51,,,,,,,,,1,2,Appartement,47.00,2,,,,,,-1.7802570,43.3494050,000AL
2019-970033,2019-02-11,1,Vente,120000,14,,RUE DE BEHOBIE,320,64700,64260,Hendaye,64,,,64260000AL0253,,,198,35.67,,,,,,,,,1,2,Appartement,40.00,2,,,,,,-1.7802570,43.3494050,000AL
2019-970044,2019-01-31,1,Vente,225000,7,,RUE AUGUSTE ETCHENAUSIA,915,64700,64260,Hendaye,64,,,64260000AR0180,,,10,45.81,,,,,,,,,1,2,Appartement,45.00,3,,,,,,-1.7636860,43.3647110,000AR
2019-970047,2019-02-04,1,Vente,201500,1,,BD DU GENERAL LECLERC,1100,64700,64260,Hendaye,64,,,64260000AV0133,,,13,36.52,,,,,,,,,1,2,Appartement,39.00,2,,,,,,-1.7699770,43.3662750,000AV
2019-970048,2019-01-19,1,Vente,200000,31,,AV DES ALLEES,100,64700,64260,Hendaye,64,,,64260000AN0674,,,73,55.00,,,,,,,,,1,2,Appartement,55.00,2,,,,,,-1.7745600,43.3545560,000AN
2019-970049,2019-01-30,1,Vente,249000,43,,AV DE LISSARDY,1380,64700,64260,Hendaye,64,,,64260000AS0125,,,224,55.02,,,,,,,,,1,2,Appartement,65.00,3,,,,,,-1.7566670,43.3726580,000AS
2019-970059,2019-01-25,1,Vente,140000,57,,BD DU GENERAL LECLERC,1100,64700,64260,Hendaye,64,,,64260000AV0390,,,16,27.15,,,,,,,,,1,2,Appartement,24.00,1,,,,,,-1.7724880,43.3699470,000AV
2019-970061,2019-01-28,1,Vente,174400,2,,BD DE L EMPEREUR,840,64700,64260,Hendaye,64,,,64260000AE0570,,,4,47.04,,,,,,,,,1,2,Appartement,47.00,3,,,,,,-1.7675970,43.3551710,000AE
